,Year,Month,Country,Area,Type,Activity,Sex,Age,Fatal,Injury,Species,Size (min),Size (max)
4993,1932,Apr,PHILIPPINES,Manila,Unprovoked,Standing,F,,Y,Fatal,,,
4994,1932,Feb,USA,Hawaii,Unprovoked,Swimming,M,,N,Moderate,,,
4995,1932,Feb,AUSTRALIA,Queensland,Unprovoked,Fishing with dynamite,M,,N,Minor,,,
4996,1932,Feb,PHILIPPINES,Manila,Unprovoked,Working near fish traps,M,,Y,Fatal,,,
4997,1932,Jan,AUSTRALIA,Queensland,Unprovoked,Swimming,M,,N,Minor,,,
4998,1932,Jan,AUSTRALIA,Victoria,Boating,Fishing,,,,,,,
4999,1932,Jan,MEXICO,Baja California,Provoked,Fishing,M,,Y,,,,
5000,1932,,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Collecting fish by lamplight in gully,M,23.0,N,Moderate,,122.0,152.0
5001,1931,Nov,AUSTRALIA,Torres Strait,Unprovoked,Diving for trochus from lugger,M,45.0,N,Moderate,,400.0,400.0
5002,1931,Sep,JAMAICA,,Unprovoked,Diving off wharf,M,,Y,Fatal,,,
5003,1931,Sep,USA,Florida,Unprovoked,Swimming,M,,N,Minor,,,
5004,1931,Sep,USA,Florida,Unprovoked,Swimming ,F,20.0,N,Moderate,,240.0,240.0
5005,1931,Sep,USA,Hawaii,Invalid,Fishing,M,,,Fatal,,,
5006,1931,Aug,CUBA,Havana Province,Unprovoked,Swimming,M,18.0,Y,Fatal,,,
5007,1931,Aug,USA,Hawaii,Invalid,,M,,,,,,
5008,1931,Aug,USA,New Jersey,Boating,Fishing for bluefish,,,N,Minor,,,
5009,1931,Aug,CUBA,Havana Province,Unprovoked,Swimming a quarter mile offshore,M,23.0,Y,Fatal,,,
5010,1931,Aug,CUBA,Havana Province,Unprovoked,Swimming ,M,,Y,Fatal,,,
5011,1931,Aug,USA,Texas,Unprovoked,Swimming,M,,N,Minor,,,
5012,1931,Aug,USA,New Jersey,Unprovoked,Swimming,M,,N,,,,
5013,1931,Aug,AUSTRALIA,Queensland,Unprovoked,Fell overboard?,M,,Y,Fatal,,,
5014,1931,Jul,FIJI,Viti Levu Island,Unprovoked,Swimming,M,,N,Minor,,,
5015,1931,Jul,USA,New Jersey,Unprovoked,Swimming,M,,N,Minor,,,
5016,1931,Jun,USA,Hawaii,Unprovoked,"Fishing, had just speared a ulua",M,,N,,,,
5017,1931,Jun,USA,Hawaii,Provoked,Gaffing & attempting to bring onboard a harpooned shark,M,,N,Major,,300.0,300.0
5018,1931,Jun,USA,Florida,Unprovoked,Crabbing,M,,N,Moderate,,183.0,183.0
5019,1931,May,AUSTRALIA,New South Wales,Boating,,,,N,Minor,,,
5020,1931,Apr,,French Southern Territories,Unprovoked,"Fishing, boat capsized",M,,Y,Fatal,,,
5021,1931,Mar,AUSTRALIA,Queensland,Unprovoked,Fishing with a cast net,M,19.0,Y,Fatal,,,
5022,1931,Mar,TURKEY,,Boating,Fishing,,,N,Minor,,,
5023,1931,Mar,AUSTRALIA,South Australia,Provoked,"Fishing, hauling in net, shark in net",M,,N,Moderate,,180.0,180.0
5024,1931,Feb,AUSTRALIA,New South Wales,Invalid,Swimming ,M,39.0,,,,,
5025,1931,Jan,AUSTRALIA,Torres Strait,Unprovoked,,M,,N,,,,
5026,1931,Jan,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,N,Moderate,,,
5027,1931,Jan,AUSTRALIA,Queensland,Unprovoked,Swimming,M,18.0,N,Major,,150.0,150.0
5028,1931,,TONGA,Niua ,Unprovoked,"Swimming, carrying tin can with mail to steamer",M,,Y,Fatal,,,
5029,1931,,PAPUA NEW GUINEA,,Unprovoked,,,,,,,,
5030,1930,Dec,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,49.0,N,Minor,,,
5031,1930,Dec,AUSTRALIA,New South Wales,Unprovoked,Fell overboard,M,,Y,Fatal,,,
5032,1930,Dec,AUSTRALIA,Victoria,Boating,Fishing,,,N,Minor,,,
5033,1930,Dec,AUSTRALIA,New South Wales,Unprovoked,,M,,Y,Fatal,,,
5034,1930,Nov,AUSTRALIA,Queensland,Unprovoked,Thrown into water from fishing dinghy,M,,N,Moderate,,,
5035,1930,Sep,HONDURAS,Black River,Unprovoked,Swimming,M,,Y,Fatal,,,
5036,1930,,AZORES,,Boating,,,,N,Minor,,,
5037,1930,Aug,AUSTRALIA,Western Australia,Unprovoked,Fishing,M,17.0,N,Minor,,,
5038,1930,Aug,SPAIN,Canary Islands,Unprovoked,Swimming,M,38.0,N,Minor,,,
5039,1930,Aug,USA,Florida,Unprovoked,Swimming,M,,N,Moderate,,,
5040,1930,Jul,CUBA,Havana Province,Unprovoked,Swimming,M,29.0,N,Major,,,
5041,1930,Jul,USA,Florida,Unprovoked,Swimming,M,21.0,N,Moderate,Tiger,,
5042,1930,Jun,AUSTRALIA,Torres Strait,Unprovoked,,M,,Y,Fatal,,,
5043,1930,May,USA,Texas,Unprovoked,Swimming / floating,M,,N,Moderate,,,
5044,1930,May,TURKEY,,Boating,Fishing,M,,N,Minor,,,
5045,1930,May,COSTA RICA,Limón Province,Invalid,Air disaster,,,,,,,
5046,1930,Apr,SOUTH AFRICA,Eastern Cape Province,Invalid,,M,17.0,,Fatal,,,
5047,1930,Mar,USA,Florida,Unprovoked,Sponge diving,M,,N,Minor,,,
5048,1930,Feb,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,19.0,N,Moderate,,,
5049,1930,Feb,AUSTRALIA,Victoria,Unprovoked,Diving off pier & treading water,M,18.0,Y,Fatal,White,490.0,490.0
5050,1930,Feb,AUSTRALIA,Western Australia,Provoked,Removing shark from a trap,M,,N,Moderate,,,
5051,1930,Jan,MEXICO,Veracruz,Boating,Fishing schooner Jose Luis foundered,,,Y,Fatal,,,
5052,1930,Jan,SOUTH AFRICA,Western Cape Province,Unprovoked,Swimming,M,23.0,N,Minor,,450.0,450.0
5053,1930,Jan,MAURITIUS,,Sea Disaster,Swimming to shore after a squall  capsized their motorized shark fishing boat,M,,Y,Fatal,,,
5054,1930,,OKINAWA,,Unprovoked,,M,17.0,N,,,,
5055,1930,,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Swimming,M,,Y,Fatal,,,
5056,1929,Dec,AUSTRALIA,New South Wales,Unprovoked,Diving by wharf,M,16.0,Y,Fatal,Tiger,,
5057,1929,Dec,AUSTRALIA,Torres Strait,Unprovoked,Diving,M,,N,,,,
5058,1929,Dec,AUSTRALIA,New South Wales,Unprovoked,Bathing or body surfing ,F,17.0,N,Moderate,,,
5059,1929,Dec,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,N,Moderate,,,
5060,1929,Dec,,,Unprovoked,,M,20.0,Y,Fatal,,,
5061,1929,Dec,AUSTRALIA,Queensland,Unprovoked,,M,,Y,Fatal,,,
5062,1929,Nov,KIRIBATI,Phoenix Islands,Sea Disaster,"Sea Disaster, wreck of the  SS Norwich City",M,,Y,,,,
5063,1929,Nov,CUBA,Cienfuegos Province,Unprovoked,Fishing,M,,N,Fatal,,,
5064,1929,Oct,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,N,Minor,,,
5065,1929,Oct,SPAIN,Valencia,Unprovoked,Fishing ,M,,N,Moderate,,,
5066,1929,Sep,AUSTRALIA,Queensland,Unprovoked,Fell from wharf into water & attacked immediately,M,42.0,Y,Fatal,,,
5067,1929,Aug,USA,South Carolina,Unprovoked,Bathing,M,,N,Minor,,,
5068,1929,Jul,MEXICO,Tamaulipas,Unprovoked,Swimming,M,,N,Major,,,
5069,1929,Jul,CAPE VERDE,Santiago Island,Invalid,,F,,,,,,
5070,1929,Jun,USA,Florida,Provoked,Fishing,M,,N,Minor,,274.0,274.0
5071,1929,May,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,N,Moderate,,,
5072,1929,Apr,AUSTRALIA,Queensland,Unprovoked,Diving for trepang,M,,N,Minor,,,
5073,1929,Apr,AUSTRALIA,Queensland,Unprovoked,Diving for trochus,M,,N,Moderate,,,
5074,1929,Apr,AUSTRALIA,Queensland,Provoked,Standing in knee-deep water,M,19.0,N,Major,,122.0,122.0
5075,1929,Apr,AUSTRALIA,Torres Strait,Unprovoked,,M,,Y,Fatal,,,
5076,1929,Apr,AUSTRALIA,Torres Strait,Unprovoked,Swimming between boats,M,,Y,Fatal,,,
5077,1929,Mar,USA,Florida,Unprovoked,Swimming,M,26.0,N,Moderate,,,
5078,1929,Mar,AUSTRALIA,Torres Strait,Unprovoked,Bathing,M,,Y,Fatal,,,
5079,1929,Mar,AUSTRALIA,South Australia,Unprovoked,Launching rowboat through the surf,M,9.0,N,Minor,,,
5080,1929,Mar,AUSTRALIA,South Australia,Unprovoked,Launching rowboat through the surf,M,12.0,N,Minor,,,
5081,1929,Feb,AUSTRALIA,New South Wales,Unprovoked,Body surfing,M,20.0,Y,Fatal,,,
5082,1929,Feb,AUSTRALIA,Western Australia,Boating,Canoeing,,,N,Minor,,366.0,366.0
5083,1929,Feb,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,39.0,Y,Fatal,Galapagos,,
