,Year,Country,Activity,Age,Species ,Sex,Species
2378,1995,USA,Playing / jumping,13,"""sand"" shark",M,"""sand"" shark"
2380,1995,USA,Swimming,45,1.8 m [6'] shark,M,1.8 m [6'] shark
2381,1995,USA,Swimming,10,6' shark,F,6' shark
2382,1995,USA,Swimming,38,"Tiger shark, 3.7 m [12'] ",M,"Tiger shark, 3.7 m [12'] "
2383,1995,HONG KONG,Swimming,45,Though to involve a tiger shark,F,Though to involve a tiger shark
2384,1995,HONG KONG,Swimming,29,1.8 m to 2.1 m [6' to 7'] shark,M,1.8 m to 2.1 m [6' to 7'] shark
2386,1995,USA,Surfing,15,Possibly a bull shark,M,Possibly a bull shark
2387,1995,FIJI,Sleeping in anchored boat,69,3.7 m [12'] shark,M,3.7 m [12'] shark
2389,1995,SOUTH KOREA,Diving for abalone,44,4 m shark,F,4 m shark
2393,1995,JAPAN,Scuba diving for bivalves,47,6 m [20'] white shark,M,6 m [20'] white shark
2395,1995,AUSTRALIA,Surfing,35,"Bronze whaler shark, 2 m ",M,"Bronze whaler shark, 2 m "
2397,1995,SOUTH AFRICA,Swimming,22,Raggedtooth shark,M,Raggedtooth shark
2399,1995,SOUTH AFRICA,Swimming,14,"Tiger shark, 1.8 m [6'] ",M,"Tiger shark, 1.8 m [6'] "
2400,1995,BRAZIL,Surfing,17, ,M, 
2401,1995,SOUTH AFRICA,Diving,33,Shark involvement not confirmed,M,Shark involvement not confirmed
2405,1994,SOUTH AFRICA,Body boarding,26,5.5 m [18'] white shark,M,5.5 m [18'] white shark
2410,1994,AUSTRALIA,Murder victim,44,Invalid,M,Invalid
2411,1994,USA,Commercial diver (submerged or treading water),42,5 m to 5.5 m [16.5' to 18'] white shark,M,5 m to 5.5 m [16.5' to 18'] white shark
2414,1994,USA,"Surfing, paddling seawards",34,2.7 m [9'] shark,F,2.7 m [9'] shark
2418,1994,USA,Wading,9,Thought to involve a small sand shark,F,Thought to involve a small sand shark
2421,1994,USA,Surfing,43,5 m [16.5'] white shark,M,5 m [16.5'] white shark
2423,1994,USA,Jumped off rocks into white water,12,Small shark,F,Small shark
2427,1994,REUNION,Windsurfing,24,3 to 3.5 m [10' to 11.5'] bull shark,M,3 to 3.5 m [10' to 11.5'] bull shark
2428,1994,SOUTH AFRICA,Surfing,22,4 m [13'] white shark,M,4 m [13'] white shark
2429,1994,SOUTH AFRICA,Surfing,31,4 m [13'] white shark,M,4 m [13'] white shark
2431,1994,USA,Surfing,15,"""small shark""",M,"""small shark"""
2432,1994,BAHAMAS,Spearfishing,30,1.8 m [6'] shark,M,1.8 m [6'] shark
2434,1994,USA,Surfing,28,1.2 m [4'] spinner shark,M,1.2 m [4'] spinner shark
2435,1994,USA,Spearfishing,35,2.1 m [7'] shark,M,2.1 m [7'] shark
2436,1994,USA,Wading,36,1.2 m [4'] shark,F,1.2 m [4'] shark
2438,1994,USA,Surfing,22,>1.8 m [6'] shark,M,>1.8 m [6'] shark
2444,1994,CHILE,Swimming alongside NOAA research vessel Discoverer,19,"3.6 m [11'9""] white shark",F,"3.6 m [11'9""] white shark"
2446,1994,USA,Removing shark from tank in nightclub ,33,"Lemon shark, 4' ",M,"Lemon shark, 4' "
2447,1994,BRAZIL,Surfing,25,2 m shark,M,2 m shark
2449,1994,USA,Surfing,23,1.2 m [4'] shark,M,1.2 m [4'] shark
2451,1994,SOUTH AFRICA,Surfing,15,3 m [10'] white shark,M,3 m [10'] white shark
2457,1994,AUSTRALIA,"Swimming, after falling off towed kneeboard",23,1.5 m shark,M,1.5 m shark
2458,1994,SOUTH AFRICA,Swimming ,33,"1.3 m [4'3""] shark",M,"1.3 m [4'3""] shark"
2463,1993,AUSTRALIA,Hookah diving,27,Tiger shark caught 6 days later with diver’s remains in its gut,M,Tiger shark caught 6 days later with diver’s remains in its gut
2466,1993,USA,Surfing,26,4 m to 5 m [13' to 16.5'] white shark,M,4 m to 5 m [13' to 16.5'] white shark
2467,1993,USA,Swimming,26,3 m [10'] bull shark,F,3 m [10'] bull shark
2468,1993,USA,Kayaking,34,>6 m [20'] white shark,F,>6 m [20'] white shark
2471,1993,SOUTH AFRICA,Spearfishing,36,3 m [10'] white shark,M,3 m [10'] white shark
2474,1993,USA,Wading,19,3' shark,M,3' shark
2476,1993,SPAIN,Swimming,69,1.2 m [4'] shark,M,1.2 m [4'] shark
2477,1993,BAHAMAS,Spearfishing,51,1.8 m [6'] blacktip shark or Caribbean reef shark,M,1.8 m [6'] blacktip shark or Caribbean reef shark
2481,1993,USA,Riding floatation device,19,Bull shark,F,Bull shark
2483,1993,USA,Free diving for abalone (ascending),39,5.5 m to 6 m [18' to 20']  white shark,M,5.5 m to 6 m [18' to 20']  white shark
2486,1993,SOUTH AFRICA,Surfing,28,4 m [13'] white shark,M,4 m [13'] white shark
2487,1993,USA,Playing,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",F,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered "
2492,1993,USA,Paddling on surfboard or body board,22,Thought to involve a tiger shark,M,Thought to involve a tiger shark
2493,1993,AUSTRALIA,Scuba diving,31,Remains recovered from 5.5 m [18'] white shark,M,Remains recovered from 5.5 m [18'] white shark
2494,1993,AUSTRALIA,Scuba diving at seal colony,34,5 m [16.5'] white shark,F,5 m [16.5'] white shark
2499,1993,AUSTRALIA,Spearfishing,32,Invalid,M,Invalid
2503,1993,USA,Paddling on surfboard,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",M,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)"
2504,1993,USA,Free diving & spearfishing (ascending),55,White shark,M,White shark
2508,1993,AUSTRALIA,Fishing,69,"Bronze whaler shark, 1.5 m ",M,"Bronze whaler shark, 1.5 m "
2510,1993,AUSTRALIA,Spearfishing,21,1.5 m shark,M,1.5 m shark
2512,1993,USA,Surfing,29,6 m [20'] white shark,M,6 m [20'] white shark
2517,1992,USA,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",10,"Tiger shark, 2.4 m [8']",M,"Tiger shark, 2.4 m [8']"
2518,1992,USA,Lying on surfboard,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",M,"Tiger shark, 3 m to 4.9 m [10' to 16'] "
2519,1992,USA,Spearfishing / free diving,31,"Mako shark, 1.8 m [6']  ",M,"Mako shark, 1.8 m [6']  "
2520,1992,USA,Surfing,19,6' to 7' blacktip shark,M,6' to 7' blacktip shark
2521,1992,USA,Surfing,24,1.8 m [6'] shark,M,1.8 m [6'] shark
2522,1992,USA,Kayaking,46,5 m to 6 m white shark,M,5 m to 6 m white shark
2523,1992,FIJI,Scuba diving,30,3 m hammerhead shark,M,3 m hammerhead shark
2524,1992,USA,Scuba diving (submerged),40,Unidentified shark,M,Unidentified shark
2526,1992,USA,Body boarding,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",M,"Tiger shark, 3 m to 3.7 m [10' to 12'] "
2527,1992,USA,Hookah diving for sea urchins,40,2.5 m [8.25'] white shark,M,2.5 m [8.25'] white shark
2528,1992,USA,Surfing,28,"Tiger shark, 4.3 m [14'] ",M,"Tiger shark, 4.3 m [14'] "
2531,1992,AUSTRALIA,Surfing,28,4.2 m white shark,M,4.2 m white shark
2533,1992,USA,Surfing,20,4 m to 5 m [13' to 16.5']  white shark ,M,4 m to 5 m [13' to 16.5']  white shark 
2537,1992,BAHAMAS,"Snorkeling, carrying a speared fish in her hand",34,1.8 m [6'] blacktip shark,F,1.8 m [6'] blacktip shark
2538,1992,AUSTRALIA,Surfing,17,4 m white shark,M,4 m white shark
2540,1992,USA,Surfing,22,5.5 m to 6 m [18' to 20'] white shark,M,5.5 m to 6 m [18' to 20'] white shark
2541,1992,USA,Snorkeling,26,"Nurse shark, 3', 20-lb ",M,"Nurse shark, 3', 20-lb "
2544,1992,USA,Standing,42,"""a small shark""",F,"""a small shark"""
2548,1992,REUNION,Surfing,16,Bull shark or lemon shark,M,Bull shark or lemon shark
2552,1992,USA,Scuba diving ,45,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
2556,1992,SOUTH AFRICA,Surfing,35,>2 m shark,M,>2 m shark
2557,1992,USA,"Surfing, paddling seawards",36,Tiger shark,F,Tiger shark
2558,1992,AUSTRALIA,Surfing,17,"Bronze whaler shark, 3 m",M,"Bronze whaler shark, 3 m"
2559,1992,JAPAN,Hookah diving for pen shells ,41,"5 m [16.5'] white shark, identification by K. Nakaya",M,"5 m [16.5'] white shark, identification by K. Nakaya"
2561,1992,USA,Surfing (sitting on his board),21,Said to involve a 6 m to 7 m [20' to 23'] white shark,M,Said to involve a 6 m to 7 m [20' to 23'] white shark
2564,1992,AUSTRALIA,Surfing,19,Questionable incident,M,Questionable incident
2566,1992,AUSTRALIA,Boogie boarding,19,"Bronze whaler shark, 2.3 m [7.5'] ",M,"Bronze whaler shark, 2.3 m [7.5'] "
2567,1992,SOUTH AFRICA,Swimming ,19,"Zambesi shark, 1.7 m [5.5'] ",M,"Zambesi shark, 1.7 m [5.5'] "
2568,1992,SOUTH AFRICA,Spearfishing,36,Possibly a 1.5 m [5'] blacktip shark,M,Possibly a 1.5 m [5'] blacktip shark
2573,1991,USA,Hookah diving for sea urchins,25,6 m [20'] white shark,M,6 m [20'] white shark
2574,1991,USA,Snorkeling,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",F,"Tiger shark, 2.4 m 3.4 m [8' to 11']  "
2578,1991,AUSTRALIA,Boogie boarding,14,"""small shark""",M,"""small shark"""
2579,1991,USA,Surfing,21,1.8 m [6'] shark,M,1.8 m [6'] shark
2580,1991,USA,Surfing,32,5 m to 6 m [16.5' to 20'] white shark,M,5 m to 6 m [16.5' to 20'] white shark
2581,1991,BAHAMAS,Spearfishing,32,Invalid,M,Invalid
2582,1991,AUSTRALIA,Scuba diving,19,4 m [13'] white shark,M,4 m [13'] white shark
2583,1991,AUSTRALIA,Finning the shark that bit him,36,"3 m [10'], 270- kg [595-lb] shark",M,"3 m [10'], 270- kg [595-lb] shark"
2584,1991,USA,Swimming,23,sand shark,M,sand shark
2585,1991,USA,Wading,10,3' shark,F,3' shark
2587,1991,ITALY,Canoeing,40,4 m [13'] white shark,F,4 m [13'] white shark
2588,1991,USA,Snorkeling,39,"2.1 m [7'], 140-lb reef shark",M,"2.1 m [7'], 140-lb reef shark"
2589,1991,USA,Swimming from makeshift raft  to life vest after fishing boat sank,42,1.8 m [6'] blacktip shark,M,1.8 m [6'] blacktip shark
2591,1991,REUNION,Surfing,30,"Tiger shark, 3 to 4 m [10' to 13'] ",M,"Tiger shark, 3 to 4 m [10' to 13'] "
2592,1991,USA,Surfing,32,5 m [16.5'] white shark,M,5 m [16.5'] white shark
2593,1991,USA,Boogie boarding,13,Shark involvement not confirmed,M,Shark involvement not confirmed
2597,1991,USA,Swimming behind sailboat,31,2.7 m [9'] bull or lemon shark,M,2.7 m [9'] bull or lemon shark
2598,1991,HONG KONG,Swimming ,65,"Tiger shark, >3 m [10']",F,"Tiger shark, >3 m [10']"
2599,1991,USA,Sitting on surfboard,23,2.4 m [8'] shark,M,2.4 m [8'] shark
2603,1991,USA,"Surfing, collided with shark",22,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
2605,1991,AUSTRALIA,Scuba diving,18,"Grey nurse shark, 2 m",M,"Grey nurse shark, 2 m"
2606,1991,USA,Surfing,38,5.5 m [18'] white shark,M,5.5 m [18'] white shark
2607,1991,SOUTH AFRICA,Spearfishing,20,5.5 m [18'] white shark,M,5.5 m [18'] white shark
2610,1991,AUSTRALIA,Surfing (or sailboarding),22,2 m shark,M,2 m shark
2612,1990,AUSTRALIA,Swimming ,26,1.5 m shark,M,1.5 m shark
2614,1990,USA,Surfing,24,5' shark,M,5' shark
2615,1990,USA,Surfing,50,1.8 m [6'] shark ,M,1.8 m [6'] shark 
2619,1990,USA,Surfing,25,4' spinner shark,M,4' spinner shark
2620,1990,USA,Surfing,43,"Tiger shark, 3.7 m [12'] ",M,"Tiger shark, 3.7 m [12'] "
2621,1990,USA,Surfing,19,1.8 m to 2.4 m [6' to 8'] shark,M,1.8 m to 2.4 m [6' to 8'] shark
2622,1990,SOUTH AFRICA,Spearfishing,26,5 m  [16.5'] white shark,M,5 m  [16.5'] white shark
2623,1990,USA,"Free diving / spearfishing, from paddleboard & floating on the surface",49,White shark,M,White shark
2624,1990,USA,Kayaking,44,2.5 m to 3 m [8.25' to 10']  white shark,M,2.5 m to 3 m [8.25' to 10']  white shark
2625,1990,USA,SCUBA diving,30,Shark involvement prior to death could not be determined,M,Shark involvement prior to death could not be determined
2626,1990,USA,Surfing,22,5 m to 6 m [16.5' to 20'] white shark,M,5 m to 6 m [16.5' to 20'] white shark
2631,1990,SOUTH AFRICA,Scuba diving (but on surface),21,"4.5 m [14'9""] white shark",F,"4.5 m [14'9""] white shark"
2632,1990,BAHAMAS,Spearfishing,38,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
2636,1990,SOUTH AFRICA,Resting on surfboard,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",M,"5.5 m [18'] white shark, identified by witnesses & tooth marks"
2637,1990,SOUTH AFRICA,Lying on surfboard & paddling,23,"2.3 m [7.5'] white shark, identified by M. Smale",M,"2.3 m [7.5'] white shark, identified by M. Smale"
2638,1990,AUSTRALIA,Surfing,31,"Tiger shark, 3 m ",M,"Tiger shark, 3 m "
2641,1990,AUSTRALIA,Surfing,29,3 m shark,M,3 m shark
2651,1989,AUSTRALIA,Swimming,27,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
2652,1989,AUSTRALIA,Surfing,32,White shark,M,White shark
2653,1989,SOUTH AFRICA,Free diving & spearfishing,29,White shark,M,White shark
2655,1989,AUSTRALIA,Swimming in canal,10,"2 m shark, possibly a bronze whaler",M,"2 m shark, possibly a bronze whaler"
2657,1989,AUSTRALIA,Surfing,17,2.7 m [9'] white shark,M,2.7 m [9'] white shark
2659,1989,USA,Surfing,12,4' shark,M,4' shark
2660,1989,USA,Diving,49,Shark involvement suspected but not confirmed,M,Shark involvement suspected but not confirmed
2662,1989,SOUTH AFRICA,Free diving,29,"White shark, identified by tooth pattern",M,"White shark, identified by tooth pattern"
2663,1989,USA,"Fishing, stepped on hooked shark's head",51,150-lb shark,M,150-lb shark
2665,1989,USA,Hookah diving for abalone (descending),38,4 m to 5 m [13' to 16.5']  white shark,M,4 m to 5 m [13' to 16.5']  white shark
2666,1989,USA,Surfing,31,Sandbar shark,M,Sandbar shark
2667,1989,USA,Filming 5' blue shark,46,Blue Shark ,M,Blue Shark 
2668,1989,AUSTRALIA,Feeding fish,30,Grey nurse shark,M,Grey nurse shark
2669,1989,USA,Swimming,21,1.2 m [4'] shark,M,1.2 m [4'] shark
2670,1989,SOUTH AFRICA,Surfing,21,>3.4 m [11'] white shark,M,>3.4 m [11'] white shark
2671,1989,AUSTRALIA,Surfing,17,"Bronze whaler shark, 3 m [10'] ",M,"Bronze whaler shark, 3 m [10'] "
2673,1989,AUSTRALIA,Fishing for sharks,41,3.5 m white shark,M,3.5 m white shark
2674,1969,BERMUDA,Scuba diving,35,Shark involvement suspected but not confirmed,M,Shark involvement suspected but not confirmed
2675,1989,SOUTH AFRICA,Surfing,34,2.5 m [8.25'] white shark,M,2.5 m [8.25'] white shark
2678,1989,USA,Playing ,9,4' shark,F,4' shark
2680,1989,USA,Spearfishing,45,1.8 m [6'] sandtiger shark,M,1.8 m [6'] sandtiger shark
2682,1989,SOUTH AFRICA,Surfing,16,3 m [10'] white shark,M,3 m [10'] white shark
2683,1989,SOUTH AFRICA,Free diving,28,2.5 m [8.25'] white shark,M,2.5 m [8.25'] white shark
2685,1989,USA,Swimming,19,1.2 m [4'] shark,M,1.2 m [4'] shark
2690,1989,AUSTRALIA,Surfing,27,2 m [6.75'] white shark,M,2 m [6.75'] white shark
2694,1989,ITALY,"Scuba diving, but swimming on surface",47,6 m [20'] white shark,M,6 m [20'] white shark
2695,1989,USA,Kayaking,24,Invalid,M,Invalid
2696,1989,USA,Kayaking,24,5 m [16.5'] white shark,F,5 m [16.5'] white shark
2697,1989,USA,Body boarding,10,1.8 m to 2.4 m [6' to 8'] hammerhead shark,M,1.8 m to 2.4 m [6' to 8'] hammerhead shark
2700,1989,AUSTRALIA,Surfing with dolphins,17,"Tiger shark, 4 m [13'] ",M,"Tiger shark, 4 m [13'] "
2707,1988,USA,Surfing (sitting on his board),21,5.5 m to 6 m [18' to 20']  white shark,M,5.5 m to 6 m [18' to 20']  white shark
2708,1988,AUSTRALIA,Surfing,38,7' shark,M,7' shark
2709,1988,USA,Surfing,15,6' shark,M,6' shark
2710,1988,USA,Surfing,30,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
2711,1988,USA,Surfing,23,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
2713,1988,USA,Wading,23,1.2 m [4'] shark,F,1.2 m [4'] shark
2714,1988,USA,Surfing,21,5' shark,M,5' shark
2716,1988,USA,Snorkeling,38,3 m [10'] bull shark,M,3 m [10'] bull shark
2720,1988,USA,Surfing,27,2.4 m to 3 m [8' to 10'] white shark,M,2.4 m to 3 m [8' to 10'] white shark
2722,1988,BAHAMAS,Spearfishing on scuba,28,1.5 m [5'] Caribbean reef shark,M,1.5 m [5'] Caribbean reef shark
2723,1988,BAHAMAS,Diving,35,1.5 m [5'] Caribbean reef shark,M,1.5 m [5'] Caribbean reef shark
2728,1988,SOUTH AFRICA,Spearfishing,36,White shark,M,White shark
2729,1988,USA,Scuba diving,42,Sandtiger shark,M,Sandtiger shark
2730,1988,USA,Sittting in water with his child,37,Sand shark?,M,Sand shark?
2732,1988,USA,Surfing,25,1.8 m to 2.4 m [6' to 8'] shark,M,1.8 m to 2.4 m [6' to 8'] shark
2745,1988,SOUTH AFRICA,Surfing,17,1.5 m to 2 m [5' to 6.75'] shark,M,1.5 m to 2 m [5' to 6.75'] shark
2748,1988,SOUTH AFRICA,Surfing,20,"1 m ""grey-colored"" shark",M,"1 m ""grey-colored"" shark"
2749,1988,SOUTH AFRICA,Lying atop surfboard,15,Zambezi shark (tooth fragments recovered),F,Zambezi shark (tooth fragments recovered)
2751,1988,Fiji,Diving,22,"Tiger shark, 3 m ",M,"Tiger shark, 3 m "
2752,1988,SOUTH AFRICA,Surfing,22,Shark involvement not confirmed,M,Shark involvement not confirmed
2755,1988,SOUTH AFRICA,Attempting to lasso shark's tail,33,1.5 m copper shark,M,1.5 m copper shark
2757,1988,AUSTRALIA,Surfing,12,Wobbegong shark,M,Wobbegong shark
2759,1987,USA,Surfing,16,1.8 m [6'] blacktip shark,M,1.8 m [6'] blacktip shark
2763,1987,USA,Surfing,20,2 m [6.75'] shark,M,2 m [6.75'] shark
2764,1987,SOUTH AFRICA,Boogie boarding,14,Questionable incident,M,Questionable incident
2765,1987,SOUTH AFRICA,Spearfishing,21,White shark,M,White shark
2767,1987,AUSTRALIA,Scuba Diving for scallops,47,White shark,M,White shark
2768,1987,SOUTH AFRICA,Surfing,24,3.5 m [11.5']  white shark,M,3.5 m [11.5']  white shark
2769,1987,USA,Wading,12,1.2 m to 1.5 m [4' to 5'] shark,M,1.2 m to 1.5 m [4' to 5'] shark
2770,1987,USA,Surfing (sitting on his board),40,5.7 m white shark,M,5.7 m white shark
2771,1987,USA,Surfing,27,3' to 4' shark,M,3' to 4' shark
2772,1987,USA,Body surfing,32,4' shark,F,4' shark
2773,1987,USA,Wading,16,4' shark,F,4' shark
2784,1987,VANUATU,Swimming,8,4.3 m shark,M,4.3 m shark
2785,1987,AUSTRALIA,Surfing,18,"Bronze whaler shark, 2 m to 3 m ",M,"Bronze whaler shark, 2 m to 3 m "
2789,1987,SOUTH AFRICA,Spearfishing,30,>2.5 m [8.25'] white shark,M,>2.5 m [8.25'] white shark
2794,1986,SOUTH AFRICA,Body boarding,21,3 m [10'] white shark,M,3 m [10'] white shark
2795,1986,USA,Surfing,40,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,M,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark
2797,1986,USA,Free diving  & spearfishing (submerged),27,5 m to 6 m [16.5' to 20'] white shark,M,5 m to 6 m [16.5' to 20'] white shark
2798,1986,SOUTH AFRICA,Spearfishing,22,Invalid,M,Invalid
2804,1986,USA,Swimming,6,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",F,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered"
2805,1986,SOUTH AFRICA,Racing ski,32,1.6 m shark,M,1.6 m shark
2807,1986,USA,Surfing,28,Bull shark,M,Bull shark
2812,1986,SOUTH AFRICA,Spearfishing,35,Invalid,M,Invalid
2817,1986,SOUTH AFRICA,Spearfishing,26,1.2 m [4'] dusky shark,M,1.2 m [4'] dusky shark
2823,1986,SOUTH AFRICA,Treading water,26,>1 m shark,M,>1 m shark
2824,1986,SOUTH AFRICA,Surfing,23,2 m [6.75'] shark,M,2 m [6.75'] shark
2825,1986,SOUTH AFRICA,Surfing,21,>2.4 m [8'] white shark,M,>2.4 m [8'] white shark
2827,1986,SOUTH AFRICA,Swimming,46,Raggedtooth shark,M,Raggedtooth shark
2828,1986,SOUTH AFRICA,Spearfishing,29,"Raggedtooth shark, 2 m [6.75'] ",M,"Raggedtooth shark, 2 m [6.75'] "
2829,1986,AUSTRALIA,Surfing,29,"Bronze whaler shark, 3.5 m ",M,"Bronze whaler shark, 3.5 m "
2830,1986,USA,Surfing,22,Blacktip shark,M,Blacktip shark
2831,1986,USA,Surfing,16,1.5 m [5'] shark,M,1.5 m [5'] shark
2837,1985,SOUTH AFRICA,Body boarding,22,2.5 m [8.25'] white shark,M,2.5 m [8.25'] white shark
2838,1985,USA,Hookah diving for abalone,46,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,M,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark
2839,1985,USA,Body boarding,33,"Thought to involve a Tiger shark,  3.7 m [12'] ",M,"Thought to involve a Tiger shark,  3.7 m [12'] "
2840,1985,USA,Floating on inner tube after diving for lobster,24,1.8 m to 2.4 m [6' to 8'] shark,M,1.8 m to 2.4 m [6' to 8'] shark
2843,1985,SOUTH AFRICA,Swimming,21,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
2845,1985,USA,Swimming,17,Invalid,M,Invalid
2847,1985,USA,Wading,11,Shark involvement not confirmed,M,Shark involvement not confirmed
2848,1985,USA,Scuba diving,67,Shark involvement prior to death not confirmed,M,Shark involvement prior to death not confirmed
2849,1985,USA,Wading,13,Possibly a small hammerhead shark,F,Possibly a small hammerhead shark
2852,1985,USA,Playing in knee-deep water,10,"Tiger shark, 2.4 m to 2.7 m [8' to 9'] ",F,"Tiger shark, 2.4 m to 2.7 m [8' to 9'] "
2853,1985,ITALY,Snorkeling,13,"3 m to 3.6 m  [10' to 11'9""] white shark",M,"3 m to 3.6 m  [10' to 11'9""] white shark"
2855,1985,SOUTH AFRICA,Spearfishing,39,30-kg [66-lb] shark,M,30-kg [66-lb] shark
2857,1985,AUSTRALIA,Free diving for scallops,33,6 m [20'] white shark,F,6 m [20'] white shark
2858,1985,USA,Scuba Diving for lobster (at surface),29,6 m [20'] white shark,M,6 m [20'] white shark
2860,1985,SOUTH AFRICA,Swimming,15,Raggedtooth shark,M,Raggedtooth shark
2862,1985,SOUTH AFRICA,Surfing,18,"3.5 m white shark, tooth fragments recovered",M,"3.5 m white shark, tooth fragments recovered"
2864,1985,SOUTH AFRICA,Spearfishing,34,3.5 m [11.5'] white shark,M,3.5 m [11.5'] white shark
2866,1985,SOUTH AFRICA,Spearfishing,20,1.5 m [5'] dusky shark,M,1.5 m [5'] dusky shark
2870,1984,AUSTRALIA,Sailing on catamaran & fell into the water,16,"Tiger shark, 4 m ",M,"Tiger shark, 4 m "
2871,1984,USA,Surfing,13,1.2 m [4'] shark,M,1.2 m [4'] shark
2872,1984,USA,Spearfishing,29,"""a small shark""",M,"""a small shark"""
2873,1984,USA,Swimming,22,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
2874,1984,USA,Surfing or body surfing,23,1.5 m [5'] shark,F,1.5 m [5'] shark
2875,1984,USA,Wading,77,Shark involvement not confirmed; officials considered barracua,F,Shark involvement not confirmed; officials considered barracua
2876,1984,USA,Surfing,15,1.2 m [4'] blacktip shark,M,1.2 m [4'] blacktip shark
2877,1984,USA,Surfing (sitting on his board),25,3 m to 5 m [10' to 16.5'] white shark,M,3 m to 5 m [10' to 16.5'] white shark
2881,1984,USA,Surfing,16,Hammerhead shark?+O2356,M,Hammerhead shark?+O2356
2884,1984,USA,Skindiving,28,4.5 m to 5 m white shark,M,4.5 m to 5 m white shark
2886,1984,USA,Boat capsized?,31,Invalid,F,Invalid
2889,1984,USA,Swimming,18,1.2 m [4'] shark,F,1.2 m [4'] shark
2890,1984,SOUTH AFRICA,Spearfishing,21,Shark involvement prior to death was not confirmed,M,Shark involvement prior to death was not confirmed
2893,1984,SOUTH AFRICA,Surfing,27,2.4 m [8'] white shark,M,2.4 m [8'] white shark
2894,1984,USA,Towing her sister on plastic ski board,13,1.2 m to 1.5 m [4' to 5'] hammerhead shark,F,1.2 m to 1.5 m [4' to 5'] hammerhead shark
2902,1984,SOUTH AFRICA,Scuba diving,33, 1.5 m [5'] dusky shark,M, 1.5 m [5'] dusky shark
2904,1984,AUSTRALIA,Spearfishing,27,1.5 m white-tipped reef shark,M,1.5 m white-tipped reef shark
2905,1984,SOUTH AFRICA,Swimming,14,"Raggedtooth shark, 1 m ",M,"Raggedtooth shark, 1 m "
2909,1983,GREECE,Spearfishing,36,Invalid,M,Invalid
2911,1983,AUSTRALIA,Scuba diving for abalone,48,12' white shark,M,12' white shark
2913,1983,SOUTH AFRICA,Swimming,47,"Raggedtooth shark, >1 m ",M,"Raggedtooth shark, >1 m "
2916,1983,USA,Surfing,15,Tiger shark,M,Tiger shark
2918,1983,USA,Surfing,16,1.5 m [5'] shark,M,1.5 m [5'] shark
2919,1983,USA,Wading,20,4.5' shark,M,4.5' shark
2922,1983,SOUTH AFRICA,Spearfishing,29,5 m [16.5'] white shark,M,5 m [16.5'] white shark
2923,1983,USA,Swimming,14,Sand shark,F,Sand shark
2924,1983,USA,Skindiving,14,Nurse shark,M,Nurse shark
2925,1983,USA,Diving,22,6' to 8' bull shark,F,6' to 8' bull shark
2927,1983,AUSTRALIA,Swimming from the New Venture ,21,"Tiger shark, 5 m [16.5']",F,"Tiger shark, 5 m [16.5']"
2928,1983,AUSTRALIA,Swimming from the New Venture ,24,"Tiger shark, 5 m [16.5']",M,"Tiger shark, 5 m [16.5']"
2929,1983,AUSTRALIA,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,28,"Tiger shark, 5 m [16.5']",M,"Tiger shark, 5 m [16.5']"
2931,1983,USA,Windsurfing,39,3.5' hammerhead shark,F,3.5' hammerhead shark
2940,1983,USA,Water-skiing,21,6' shark,M,6' shark
2944,1983,SOUTH AFRICA,Fishing,27,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",M,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)"
2947,1983,SOUTH AFRICA,Spearfishing,17,1.8 m [6'] Zambezi shark,M,1.8 m [6'] Zambezi shark
2951,1983,SOUTH AFRICA,Paddleskiing,16,3 m [10'] shark,M,3 m [10'] shark
2955,1983,SOUTH AFRICA,Spearfishing,32,White shark,M,White shark
2960,1982,USA,Windsurfing,26,1.5 m [5'] shark,M,1.5 m [5'] shark
