,Year,Country,Activity,Age,Species ,Sex,Species
302,2016,BRAZIL,Swimming,41,Sandtiger shark,M,Sandtiger shark
306,2016,CAYMAN ISLANDS,Feeding stingrays?,65,No shark involvement,M,No shark involvement
310,2016,BRAZIL,Swimming,41,Sandtiger shark,M,Sandtiger shark
316,2016,USA,Paddle boarding,48,"Tiger shark, 14'",M,"Tiger shark, 14'"
318,2016,AUSTRALIA,Wading,11,Blacktip shark,M,Blacktip shark
319,2016,AUSTRALIA,Spearfishing,31,3 m shark,M,3 m shark
321,2015,SPAIN,Swimming,38,"Silky shark, 6.5'",F,"Silky shark, 6.5'"
322,2015,USA,Paddle boarding,71,9' shark,M,9' shark
323,2015,AUSTRALIA,Surfing,43,"Bronze whaler shark, 6'",M,"Bronze whaler shark, 6'"
324,2015,BRAZIL,Scuba diving,32,"Tiger shark, 1.5 m ",M,"Tiger shark, 1.5 m "
327,2015,BAHAMAS,Lobster fishing,26,Bull shark,M,Bull shark
329,2015,ECUADOR,Snorkeling,55,Galapagos shark,M,Galapagos shark
332,2015,USA,Surfing,28,"Spinner shark, 7'",M,"Spinner shark, 7'"
333,2015,AUSTRALIA,Surfing,20,"Bull shark, 2.8 to 3.1 m",M,"Bull shark, 2.8 to 3.1 m"
334,2015,USA,Surfing,9,Shark involvement not confirmed,F,Shark involvement not confirmed
336,2015,USA,Wading,28,3' to 5' shark,F,3' to 5' shark
340,2015,SOUTH AFRICA,Surfing,42,"White shark, 3 to 3.5m ",M,"White shark, 3 to 3.5m "
341,2015,USA,Surfing,21,5' shark,M,5' shark
342,2015,USA,Surfing,21,"Spinner shark, 5'",M,"Spinner shark, 5'"
344,2015,USA,Surfing,32,No shark involvement,M,No shark involvement
345,2015,USA,Swimming,44,"Tiger shark, 7'",M,"Tiger shark, 7'"
348,2015,USA,Surfing,25,"Tiger shark, 13' ",M,"Tiger shark, 13' "
352,2015,USA,Wading,13,4' to 5' shark,M,4' to 5' shark
353,2015,USA,Surfing,14,"Blacktip shark, 4' to 5'",M,"Blacktip shark, 4' to 5'"
354,2015,USA,Surfing,22,"Blacktip shark, 5' to 6'",M,"Blacktip shark, 5' to 6'"
357,2015,USA,Surfing,14,juvenile shark,M,juvenile shark
358,2015,USA,Spearfishing,27,"Tiger shark, 13'",M,"Tiger shark, 13'"
359,2015,USA,Wading,12,4' shark,M,4' shark
364,2015,AUSTRALIA,Surfing,42,6' shark,M,6' shark
365,2015,USA,Stand-Up Paddleboarding,50,"White shark, 11' to 12'",F,"White shark, 11' to 12'"
366,2015,USA,Kayak Fishing,29,Hammerhead shark.,M,Hammerhead shark.
367,2015,AUSTRALIA,Surf-skiing,62,"White shark, 2.5 m",M,"White shark, 2.5 m"
369,2015,THAILAND,Wading,37,small shark,F,small shark
371,2015,USA,Surfing,54,"White shark, 11' to 12'",F,"White shark, 11' to 12'"
372,2015,USA,Surfing,21,"White shark, 10' to 12' ",M,"White shark, 10' to 12' "
375,2015,USA,Surfing,15,4' shark,M,4' shark
376,2015,USA,Walking,10,3' shark,F,3' shark
377,2015,USA,Kayak Fishing,22,"White shark, 13'",M,"White shark, 13'"
378,2015,SPAIN,Swimming,10,Shark involvement not confirmed,M,Shark involvement not confirmed
379,2015,USA,Spearfishing,57,Hammerhead shark. 6' to 7',M,Hammerhead shark. 6' to 7'
380,2015,AUSTRALIA,Surfing,52,White shark,M,White shark
383,2015,USA,Surfing,25,"Blacktip or spinner shark, 4'",M,"Blacktip or spinner shark, 4'"
384,2015,USA,Floating,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",F,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
385,2015,AUSTRALIA,Scallop diving on hookah,46,"White shark, 3.9 to 4.2 m",M,"White shark, 3.9 to 4.2 m"
386,2015,USA,Kayak Fishing,31,"Mako shark, 100-lb",M,"Mako shark, 100-lb"
387,2015,AUSTRALIA,Surfing,40,"Bronze whaler shark, 1.5m",M,"Bronze whaler shark, 1.5m"
388,2015,REUNION,Surfing,45,"Bull shark, 2m",M,"Bull shark, 2m"
389,2015,SOUTH AFRICA,Surfing,34,White shark,M,White shark
390,2015,USA,Surfing,38,"White shark, 7'",M,"White shark, 7'"
391,2015,USA,Treading water,39,Shark involvement not cofirmed,M,Shark involvement not cofirmed
393,2015,BAHAMAS,Spearfishing,23,6' shark,F,6' shark
395,2015,AUSTRALIA,Surfing,52,White shark,M,White shark
396,2015,AUSTRALIA,Body boarding ,32,White shark,M,White shark
397,2015,USA,Swimming,68,6' to 7' shark,M,6' to 7' shark
399,2015,USA,Playing in the water,12,4' to 5' shark,M,4' to 5' shark
400,2015,USA,Swimming,18,Bull shark,M,Bull shark
401,2015,SOUTH AFRICA,Body Boarding,19,White shark,M,White shark
